scientificName,scientificNameAuthorship,scientificNameLabel,family,vernacularName,disperser,species_origin,seed_length_mm,seed_width_mm,treatment,experiment,germination_setup,germination_state,germination_date,germination_time,damaged_seed,seedling_length_mm
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,4,2,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,50
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,5.4,4.3,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,50
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,3.4,3.2,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,50
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,4,3.2,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,50
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,4,3.1,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,50
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,3.2,3.1,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,50
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,3.1,3,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,48
tambourissa_thouvenotii,Danguy,Tambourissa thouvenotii,monimiaceae,amboravavy,microcebus_rufus,native,3.6,3,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,48
bremeria_erectiloba,(Wernham) Razafim. & Alejandro,Bremeria erectiloba,rubiaceae,fatora,microcebus_rufus,native,2,2,defecated,Petri dish,4/11/18,no,n/a,n/a,no,n/a
bremeria_erectiloba,(Wernham) Razafim. & Alejandro,Bremeria erectiloba,rubiaceae,fatora,microcebus_rufus,native,2,2,defecated,Petri dish,4/11/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4,3,defecated,Petri dish,7/17/17,yes,9/7/17,51,no,45
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4,3,defecated,Petri dish,7/17/17,yes,9/14/17,58,no,40
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4,3.1,defecated,Petri dish,7/17/17,yes,9/14/17,58,no,40
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4,3,defecated,Petri dish,7/17/17,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,5.1,2.1,defecated,Petri dish,4/1/18,yes,4/28/18,26,no,1
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,5.1,2,defecated,Petri dish,4/1/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4.1,2,defecated,Petri dish,4/1/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4.1,1.1,defecated,Petri dish,4/1/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,2.1,1,defecated,Forest ground,4/1/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4,2.1,defecated,Forest ground,4/1/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,4,2.2,defecated,Forest ground,4/1/18,no,n/a,n/a,no,n/a
psychotria_reducta,Baker,Psychotria reducta,rubiaceae,fohaninasity,microcebus_rufus,native,3.1,2,defecated,Forest ground,4/1/18,no,n/a,n/a,no,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3.2,2.5,defecated,Petri dish,7/17/17,yes,8/3/17,16,no,1
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3.8,3.2,defecated,Petri dish,7/17/17,yes,8/10/17,23,no,1
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3.5,3,defecated,Petri dish,7/17/17,yes,8/10/17,23,no,1
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3.9,2,defecated,Petri dish,7/17/17,no,n/a,n/a,no,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3,2,defecated,Petri dish,4/1/18,yes,4/28/18,26,yes,1
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3,2,defecated,Petri dish,4/1/18,yes,4/28/18,26,yes,1
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,2.1,defecated,Petri dish,4/1/18,yes,5/5/18,33,yes,1
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3,2.5,defecated,Petri dish,4/1/18,yes,5/5/18,33,no,50
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3,2,defecated,Petri dish,4/11/18,yes,5/5/18,23,yes,60
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,2,defecated,Petri dish,4/11/18,yes,5/5/18,23,yes,10
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.5,2,defecated,Petri dish,4/11/18,yes,5/26/18,44,yes,10
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.2,3,defecated,Petri dish,4/11/18,yes,5/26/18,44,yes,0
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.2,3,defecated,Petri dish,4/11/18,yes,5/26/18,44,yes,0
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.2,2.5,defecated,Petri dish,4/11/18,no,5/5/18,n/a,yes,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,2,defecated,Petri dish,4/11/18,no,5/5/18,n/a,yes,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3,2.4,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,5.1,3,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,5.1,2.9,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.5,3,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,5.1,3,defecated,Forest ground,4/11/18,yes,5/5/18,23,yes,30
